libglib2.0-0t64_2.80.0-6ubuntu3.8_i386.deb	1668286
libgssapi-krb5-2_1.20.1-6ubuntu2.8_i386.deb	153652
libsane1_1.2.1-7build4_i386.deb	2854564
libavutil58_7%3a6.1.1-3ubuntu5_i386.deb	402698
libicu74_74.2-1ubuntu3.1_i386.deb	11048888
libopus0_1.4-1build1_i386.deb	210294
libgstreamer1.0-0_1.24.2-1ubuntu0.1_i386.deb	1280052
libnuma1_2.0.18-1ubuntu0.24.04.1_i386.deb	25268
libtiff6_4.5.1+git230720-4ubuntu2.5_i386.deb	209134
libdav1d7_1.4.1-1build1_amd64.deb	604018
libchromaprint1_1.5.1-5_i386.deb	44338
librsvg2-2_2.58.0+dfsg-1build1_i386.deb	2224404
libsodium23_1.0.18-1ubuntu0.24.04.1_amd64.deb	161290
libx11-xcb1_2%3a1.8.7-1build1_i386.deb	7774
libnspr4_2%3a4.35-1.1build1_i386.deb	127118
librist4_0.2.10+dfsg-2_i386.deb	87416
libfribidi0_1.0.13-3build1_i386.deb	26608
libgstreamer-plugins-base1.0-0_1.24.2-1ubuntu0.4_i386.deb	923710
libx11-6_2%3a1.8.7-1build1_i386.deb	670054
libzvbi0t64_0.2.42-2_i386.deb	266354
libasound2-plugins_1.2.7.1-1ubuntu5_amd64.deb	74850
libx265-199_3.5-2build1_amd64.deb	1226422
libwayland-egl1_1.22.0-2.1build1_i386.deb	5658
libgomp1_14.2.0-4ubuntu2~24.04.1_i386.deb	151252
libxml2_2.9.14+dfsg-1.3ubuntu3.8_i386.deb	722992
wine-devel_11.17~noble-1_amd64.deb	11586578
libk5crypto3_1.20.1-6ubuntu2.8_i386.deb	86328
libheif1_1.17.6-1ubuntu4.8_i386.deb	325356
libmpg123-0t64_1.32.5-1ubuntu1.1_i386.deb	174304
libpcsclite1_2.0.3-1build1_i386.deb	26036
libgmp10_2%3a6.3.0+dfsg-2ubuntu6.1_i386.deb	270268
libshine3_3.1.1-2build1_i386.deb	23486
libpcap0.8t64_1.10.4-4.1ubuntu3_i386.deb	157890
libzvbi-common_0.2.42-2_all.deb	42360
libapparmor1_4.0.1really4.0.1-0ubuntu0.24.04.7_amd64.deb	51272
wine-devel-i386_11.17~noble-1_i386.deb	142140490
libselinux1_3.5-2ubuntu2.1_i386.deb	84860
libgphoto2-port12t64_2.5.31-2.1ubuntu1.1_i386.deb	61242
libxpm4_1%3a3.5.17-1ubuntu0.24.04.1_i386.deb	37958
libusb-1.0-0_2%3a1.0.27-1_i386.deb	58198
libsoxr0_0.1.3-4build3_i386.deb	87096
libbluray2_1%3a1.3.4-1build1_i386.deb	155360
wine-devel-amd64_11.17~noble-1_amd64.deb	150150970
libmount1_2.39.3-9ubuntu6.6_i386.deb	200746
libgcc-s1_14.2.0-4ubuntu2~24.04.1_i386.deb	95466
libopenmpt0t64_0.7.3-1.1build3_amd64.deb	647356
